,0,1,2,3,4,5
0,0.38470238,0.0,1.9120725,6.8550963,1.9407594,0.0
1,0.57695884,0.0,2.3611953,7.911733,2.2942567,0.0
2,0.26359004,0.0,3.8339124,13.523141,4.383994,0.0
3,0.37408376,0.17205966,2.3075523,7.743967,2.6416268,0.0
4,0.36511785,0.07791033,2.2553427,7.9867063,2.2320945,0.0
5,0.5223113,0.7216408,3.1296217,11.05919,3.8146906,0.0
6,0.2139759,0.16870913,3.5881279,12.435545,3.876527,0.0
7,0.5568582,0.59347504,3.805881,14.371696,4.833095,0.0
8,0.82413447,0.44760892,3.7839403,12.642834,4.494997,0.0
9,0.6517387,0.0,1.8007107,5.8443117,1.6164266,0.0
10,0.21690659,0.0,1.2886704,4.9577737,1.4477105,0.0
11,0.59614944,0.0,2.935522,10.164646,2.884095,0.0
12,0.11222235,0.0,1.5678364,5.976509,2.1113963,0.0
13,0.14011663,0.0,3.0013142,11.037594,3.1517437,0.0
14,0.25388974,0.12191974,3.0257087,10.455546,3.599034,0.0
15,0.5033981,0.0,0.8441729,3.0710135,0.5589385,0.0
16,0.20501488,0.0,1.6742496,6.170105,1.9253798,0.0
17,0.16687924,0.0,2.0259132,7.369606,2.584298,0.0
18,0.23875485,0.0,1.6423656,6.168698,1.7548097,0.0
19,0.28874236,0.0,0.60835147,2.6265535,0.46715468,0.0
20,0.33599436,0.0,0.9827946,3.853366,0.82615036,0.0
21,0.25912648,0.0,1.0853214,4.2713604,1.066991,0.0
22,0.25923574,0.0,0.72516894,3.0384314,0.64721054,0.0
23,0.31266224,0.0,0.8114548,3.286054,0.65927064,0.0
24,0.5407398,0.5335013,4.0457335,12.946987,4.287395,0.0
25,0.17100745,0.0,3.5617511,12.900656,3.8348572,0.0
26,0.25712806,0.11666358,2.1473718,7.711708,2.3226883,0.0
27,0.17074,0.0,2.615594,9.602551,3.1170857,0.0
28,0.28172088,0.0,0.99587595,3.854076,0.9890822,0.0
29,0.32638025,0.0,1.46672,5.4050198,1.5436186,0.0
30,0.27746534,0.0,1.6530352,6.100603,1.784177,0.0
31,0.15207252,0.0,1.1332457,4.653854,1.1760707,0.0
32,0.2485969,0.0,1.2880371,5.028948,1.2813687,0.0
33,0.24905676,0.0,1.6342665,6.1241817,1.68553,0.0
34,0.2373929,0.0,1.4982928,5.6352606,1.5745796,0.0
