,0,1,2,3,4
0,12.92643,0.0,8.573145,2.2006242,0.0
1,14.945253,0.0,9.938608,2.7754657,0.0
2,26.129568,0.0,17.227646,4.4527907,0.0
3,14.924368,0.0,10.272253,2.6663637,0.0
4,15.07,0.0,9.965956,2.6293297,0.0
5,21.74438,0.0,14.615326,3.7418647,0.0
6,23.655218,0.0,16.007755,4.047871,0.0
7,28.171774,0.0,18.60609,4.5953226,0.0
8,24.963978,0.0,16.628204,4.284718,0.0
9,10.898584,0.0,7.432465,2.108092,0.0
10,9.278698,0.0,6.3790884,1.4530228,0.0
11,19.398968,0.0,12.478706,3.3300908,0.0
12,11.499298,0.0,8.037928,1.7503393,0.0
13,21.046806,0.0,13.543608,3.3018782,0.0
14,20.193409,0.0,13.762192,3.334561,0.0
15,5.41514,0.0,3.7369761,1.1283208,0.0
16,11.551597,0.0,8.004568,1.9514049,0.0
17,14.25042,0.0,9.696499,2.2808933,0.0
18,11.564907,0.0,7.810916,1.9562521,0.0
19,4.591436,0.0,3.1941588,0.80631804,0.0
20,6.9822917,0.0,4.681466,1.2183396,0.0
21,7.7937365,0.0,5.4008055,1.2995844,0.0
22,5.3915443,0.0,3.8159218,0.88749623,0.0
23,5.8503337,0.0,4.0226374,0.99526536,0.0
24,24.933283,0.0,16.886007,4.819561,0.0
25,24.450539,0.0,16.300274,3.9111218,0.0
26,14.80553,0.0,9.77932,2.3468096,0.0
27,18.558811,0.0,12.2936535,2.919067,0.0
28,7.024486,0.0,4.8603826,1.2245367,0.0
29,10.146528,0.0,6.8681107,1.7751547,0.0
30,11.470577,0.0,7.7434154,1.986096,0.0
31,8.6386795,0.0,5.72231,1.3061945,0.0
32,9.235514,0.0,6.3083377,1.5706029,0.0
33,11.4260235,0.0,7.719887,1.9906436,0.0
34,10.411362,0.0,7.202975,1.8387477,0.0
35,5.952559,0.0,4.146266,0.89902854,0.0
36,13.264796,0.0,8.726467,1.9511712,0.0
37,6.445053,0.0,4.5404325,1.0330969,0.0
38,6.4870725,0.0,4.491934,1.0769264,0.0
39,13.322335,0.0,9.131859,2.2079828,0.0
40,10.519133,0.0,7.2411237,1.6149402,0.0
41,9.871644,0.0,6.7267075,1.746179,0.0
42,8.844589,0.0,6.104566,1.4393466,0.0
43,3.8512452,0.0,2.8212483,0.5434014,0.0
44,8.014113,0.0,5.615603,1.3012706,0.0
45,9.273662,0.0,6.3500295,1.5000817,0.0
46,8.993199,0.0,6.13176,1.416626,0.0
47,11.343165,0.0,7.3699718,1.9130229,0.0
48,6.5837145,0.0,4.489059,1.1427997,0.0
49,7.7923574,0.0,5.1598544,1.4634016,0.0
50,12.2761135,0.0,8.166424,2.3296387,0.0
51,13.339387,0.0,8.877344,2.4876747,0.0
52,8.378355,0.0,5.7271476,1.5709778,0.0
53,10.522958,0.0,7.0677342,1.940451,0.0
54,6.7954044,0.0,4.3501964,1.1866926,0.0
55,8.361275,0.0,5.386277,1.5655218,0.0
56,10.10481,0.0,6.5349784,1.7088543,0.0
57,7.0457735,0.0,4.650861,1.3774725,0.0
58,10.619691,0.0,7.0429645,1.9865562,0.0
59,4.652417,0.0,3.0479517,0.9384308,0.0
60,4.7713194,0.0,3.1303005,0.97309923,0.0
61,10.543192,0.0,6.983531,2.006892,0.0
62,9.784235,0.0,6.578252,1.8856428,0.0
63,9.404782,0.0,6.0782385,1.5569265,0.0
64,13.682741,0.0,9.23794,2.6773481,0.0
65,6.944123,0.0,4.715846,1.231521,0.0
66,8.925069,0.0,6.0841737,1.7792951,0.0
67,5.872836,0.0,3.9315224,1.1511617,0.0
68,19.144701,0.0,12.939945,3.656149,0.0
69,13.887245,0.0,9.637108,2.71793,0.0
70,14.121682,0.0,9.511995,2.4916322,0.0
71,19.606653,0.0,13.307034,4.191959,0.0
72,25.116205,0.0,17.814856,5.9991436,0.0
73,24.2076,0.0,16.816137,5.9988303,0.0
74,26.77116,0.0,18.407705,5.9279284,0.0
75,20.089582,0.0,14.107336,2.6708703,0.0
76,25.327839,0.0,17.61135,5.7827725,0.0
77,14.982589,0.0,9.917002,2.276874,0.0
78,25.725626,0.0,17.821032,5.6431584,0.0
79,22.957344,0.0,15.419792,4.169695,0.0
80,14.968728,0.0,10.17695,2.527607,0.0
81,22.341656,0.0,14.86585,3.6913605,0.0
82,25.136812,0.0,16.590885,4.574218,0.0
83,25.88014,0.0,17.513643,4.9312544,0.0
84,22.031652,0.0,14.811327,4.0309105,0.0
85,23.04721,0.0,15.240618,3.7937725,0.0
86,27.898195,0.0,19.396387,5.1238165,0.0
87,21.583656,0.0,14.319601,3.6938891,0.0
88,21.754154,0.0,14.818111,4.3831325,0.0
89,26.092949,0.0,17.315708,4.644746,0.0
90,24.521914,0.0,16.297634,4.166341,0.0
91,22.44945,0.0,15.211952,4.1395326,0.0
92,22.498356,0.0,15.092054,3.916294,0.0
93,26.878653,0.0,17.431095,4.019373,0.0
94,24.221712,0.0,16.296082,4.4702644,0.0
95,21.455387,0.0,14.360575,3.9175496,0.0
96,27.00034,0.0,18.21476,4.531456,0.0
97,27.463121,0.0,18.599352,4.929018,0.0
98,25.573034,0.0,16.945702,4.4645596,0.0
